,model,os,price
0,iPhone,iPhone OS,499
1,iPhone 3G,iPhone OS,199
2,iPhone 3GS,iPhone OS,199
3,iPhone 4,iOS 4.0,599
4,iPhone 4S,iOS 5.0,199
5,iPhone 5,iOS 6.0,649
6,iPhone 5C,iOS 7.0,99
7,iPhone 5S,iOS 7.0,199
8,iPhone 6 ,iOS 8.0,199
9,iPhone 6 Plus,iOS 8.0,299
10,iPhone 6S ,iOS 9.0.1,199
11,iPhone 6S Plus,iOS 9.0.1,299
12,iPhone SE (1st),iOS 9.3,399
13,iPhone 7 ,iOS 10.0.1,199
14,iPhone 7 Plus,iOS 10.0.1,319
15,iPhone 8 ,iOS 11.0,699
16,iPhone 8 Plus,iOS 11.0,799
17,iPhone X,iOS 11.0.1,549
18,iPhone XR,iOS 12.0,749
19,iPhone XS ,iOS 12.0,999
20,iPhone XS Max,iOS 12.0,1099
21,iPhone 11,iOS 13.0,699
22,iPhone 11 Pro ,iOS 13.0,999
23,iPhone 11 Pro Max,iOS 13.0,1099
24,iPhone SE (2nd),iOS 13.4,399
25,iPhone 12 ,iOS 14.1,829
26,iPhone 12 Mini,iOS 14.1,729
27,iPhone 12 Pro ,iOS 14.1,999
28,iPhone 12 Pro Max,iOS 14.1,1099
29,iPhone 13 ,iOS 15.0,829
30,iPhone 13 Mini,iOS 15.0,729
31,iPhone 13 Pro ,iOS 15.0,999
32,iPhone 13 Pro Max,iOS 15.0,1099
